	CLa	CL0       	CD0       	e         	Cmd         Cma
Refe   	0.0787    	0.0794    	0.0236    	0.6522    	-0.0255     -0.0119
Test        	0.0771    	0.0834    	0.0230    	0.4954    	-0.0252     -0.0114
